"study_ID","study_name","year","species","order","life_stage","animal_source","body_mass","respiration_mode","replication_level","dive.type","summary_stat","acclimation_temp","t1","t2","mean_t","delta_t","t_magnitude","mean_t1","sd_t1","n_t1","se_t1","mean_t2","sd_t2","n_t2","se_t2","shared_control","Q10","source","genus","species_new","sub_spp","species_rotl"
"101","101_Rodgers_etal_2015",2015,"Crocodylus porosus","crocodilia","juveniles","captive",710,"aerial","individual","fright","mean","28",28,35,31.5,7,"plus5-7",6.666666667,4.614434491,11,1.391304348,2.463768116,0.672938363,11,0.202898551,1,0.241221405,"Fig2B","Crocodylus","porosus","Crocodylus","Crocodylus_porosus"
"101","101_Rodgers_etal_2015",2015,"Crocodylus porosus","crocodilia","juveniles","captive",710,"aerial","individual","fright","mean","31.5",28,35,31.5,7,"plus5-7",8.202898551,1.826546986,11,0.550724638,2.173913043,0.672938363,11,0.202898551,3,0.150005401,"Fig2B","Crocodylus","porosus","Crocodylus","Crocodylus_porosus"
"101","101_Rodgers_etal_2015",2015,"Crocodylus porosus","crocodilia","juveniles","captive",710,"aerial","individual","fright","mean","35",28,35,31.5,7,"plus5-7",7.768115942,4.710568543,11,1.420289855,3.391304348,1.53814483,11,0.463768116,5,0.306046375,"Fig2B","Crocodylus","porosus","Crocodylus","Crocodylus_porosus"
"93","093_Priest&Franklin_2002",2002,"Emydura macquarii","testudines","adult","wild",1595,"bimodal","individual","voluntary","mean","23",23,30,26.5,7,"plus5-7",4.88372093,2.600079044,5,1.162790698,6.511627907,3.640110661,5,1.627906977,2,1.508286728,"Fig1B","Emydura","macquarii","Emydura","Emydura_macquarii"
"93","093_Priest&Franklin_2002",2002,"Rheodytes leukops","testudines","adult","wild",1325,"bimodal","individual","voluntary","mean","23",23,30,26.5,7,"plus5-7",35.78947368,19.33807692,6,7.894736842,15.26315789,11.60284615,6,4.736842105,2,0.295985286,"Fig1A","Rheodytes","leukops","Rheodytes","Rheodytes_leukops"
"128","128_Santos_etal_1990",1990,"Trachemys dorbigni","testudines","adult","wild",1755,"bimodal","individual","voluntary","mean","18,25.4",18,25.4,21.7,7.4,"plus5-7",9.4,6.7,6,NA,4.1,5.2,10,NA,1,0.325873206,"Table1","Trachemys","dorbigni","Trachemys","Trachemys_dorbigni"
"11","011_Bruton_etal_2012",2012,"Acrochordus arafurae","serpentes","juvenile","captive",85,"bimodal","individual","voluntary","mean","24",24,32,28,8,"plus8-9",50.17857143,8.081220356,8,2.857142857,26.96428571,5.555838995,8,1.964285714,1,0.460085222,"fig1b","Acrochordus","arafurae","Acrochordus","Acrochordus_arafurae"
"11","011_Bruton_etal_2012",2012,"Acrochordus arafurae","serpentes","juvenile","captive",85,"bimodal","individual","voluntary","mean","32",24,32,28,8,"plus8-9",56.60714286,10.17857143,9,3.392857143,32.32142857,6.964285714,9,2.321428571,2,0.496334131,"fig1b","Acrochordus","arafurae","Acrochordus","Acrochordus_arafurae"
"107","107_Schaffer_etal_2016",2016,"Elseya irwini","testudines","adult","wild",3813,"bimodal","individual","voluntary","mean","17,25",17,25,21,8,"plus8-9",97.4,30.3,9,10.1,25.1,4.8,9,1.6,1,0.183608785,"Table1","Elseya","irwini","Elseya","Elseya_irwini"
"93","093_Priest&Franklin_2002",2002,"Emydura macquarii","testudines","adult","wild",1595,"bimodal","individual","voluntary","mean","23",15,23,19,8,"plus8-9",32.55813953,16.64050588,5,7.441860465,4.88372093,2.600079044,5,1.162790698,1,0.093349947,"Fig1B","Emydura","macquarii","Emydura","Emydura_macquarii"
