study_ID,study_name,genus,species,species_genus_sp,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,t1,t2,delta_t,mean_control,sd_control,n_control,se_control,mean_treatment,sd_treatment,n_treatment,se_treatment,shared_control,Q10,source,
93,093_Priest&Franklin_2002,Emydura,macquarii,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,23,30,7,4.88372093,2.600079044,5,1.162790698,6.511627907,3.640110661,5,1.627906977,2,1.508286728,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,21,24,3,39.78947368,16.05944635,11,4.842105263,28.42105263,15.36120956,11,4.631578947,1,0.325766594,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,21,27,6,39.78947368,16.05944635,11,4.842105263,15.78947368,4.887657586,11,1.473684211,1,0.214288615,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,21,30,9,39.78947368,16.05944635,11,4.842105263,11.15789474,3.49118399,11,1.052631579,1,0.243478195,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,24,27,3,28.42105263,15.36120956,11,4.631578947,15.78947368,4.887657586,11,1.473684211,2,0.140958623,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,24,30,6,28.42105263,15.36120956,11,4.631578947,11.15789474,3.49118399,11,1.052631579,2,0.210492601,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,curtus,Hydrophis curtus,unspecified,wild,160,bimodal,individual,voluntary,mean,27,27,30,3,15.78947368,4.887657586,11,1.473684211,11.15789474,3.49118399,11,1.052631579,3,0.314327241,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,21,24,3,27.36842105,13.31485331,10,4.210526316,21.68421053,9.986139979,10,3.157894737,1,0.460234928,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,21,27,6,27.36842105,13.31485331,10,4.210526316,14.10526316,4.660198657,10,1.473684211,1,0.331298206,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,21,30,9,27.36842105,13.31485331,10,4.210526316,10.94736842,1.997227996,10,0.631578947,1,0.361280428,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,24,27,3,21.68421053,9.986139979,10,3.157894737,14.10526316,4.660198657,10,1.473684211,2,0.238483641,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,24,30,6,21.68421053,9.986139979,10,3.157894737,10.94736842,1.997227996,10,0.631578947,2,0.320093507,Fig1B,
119,119_Udyawer_etal_2016,Hydrophis,elegans,Hydrophis elegans,unspecified,wild,1035,bimodal,individual,voluntary,mean,27,27,30,3,14.10526316,4.660198657,10,1.473684211,10.94736842,1.997227996,10,0.631578947,3,0.429630531,Fig1B,
13,013_Calosi_etal_2012,Ilybius,chalconatus,Ilybius chalconatus,adult,wild,0.053485,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,95.86,88.14,13,NA,182.42,212.5,15,NA,17,3.221541164,TableS4,
13,013_Calosi_etal_2012,Ilybius,erichsonii,Ilybius erichsonii,adult,wild,0.02945,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,222.06,242.38,11,NA,248.94,120.03,11,NA,18,1.230909406,TableS4,
13,013_Calosi_etal_2012,Ilybius,hozgargantae,Ilybius hozgargantae,adult,wild,0.04733,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,274.97,216.16,18,NA,158.67,110.69,14,NA,19,0.367989536,TableS4,
13,013_Calosi_etal_2012,Ilybius,meridionalis,Ilybius meridionalis,adult,wild,0.08525,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,128,184.41,13,NA,72.23,57.62,15,NA,20,0.353342371,TableS4,
13,013_Calosi_etal_2012,Ilybius,montanus,Ilybius montanus,adult,wild,0.073475,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,361.68,209.78,15,NA,197.13,106.89,13,NA,21,0.3317253,TableS4,
13,013_Calosi_etal_2012,Ilybius,neglectus,Ilybius neglectus,adult,wild,0.04459,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,535.17,415.08,8,NA,384.87,360.34,10,NA,22,0.549132197,TableS4,
13,013_Calosi_etal_2012,Ilybius,pederzani,Ilybius pederzani,adult,wild,0.061135,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,254.21,223.13,14,NA,117.61,90.28,17,NA,23,0.246244524,TableS4,
13,013_Calosi_etal_2012,Ilybius,subtilis,Ilybius subtilis,adult,wild,0.10132,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,152.33,16.97,2,NA,102.39,118.24,2,NA,24,0.485638278,TableS4,
